Rank,Player,Points,Country,Characters
1,"SKPeter",6256,"","Dark Samus - Samus"
2,"@@@@@",6011,"","Snake"
3,"Adamska",6006,"","Captain Falcon"
4,"Holy",5670,"","Sephiroth"
5,"Chur",5355,"","Wolf - Falco - Fox"
6,"Thelo",5342,"","Sora"
7,"TOURONGA",5232,"Brazil","Richter - Pyra / Mythra"
8,"Celo",5153,"","Ganondorf"
9,"E.",5127,"Brazil","Dark Pit"
10,"Micro",5016,"","Inkling - Min Min - Rob"
11,"ploiw",4995,"","Pokemon Trainer"
12,"Norun",4630,"","Kazuya - Terry"
13,"Patu",4480,"","Diddy Kong"
14,"Bloss",4326,"","Cloud - Roy"
15,"Théo",4251,"","Greninja"
16,"Lith",4126,"","Diddy Kong - Sephiroth"
17,"Guisr",3847,"","Pokemon Trainer"
18,"Lv.100",3845,"","Rob - Donkey Kong"
19,"digao",3803,"","Bowser"
20,"Precs",3709,"","Zero Suit Samus"
21,"Miduz",3653,"","Hero"
22,"Flad",3540,"","Lucario"
23,"Cithalo",3330,"","Mr Game And Watch"
24,"Gaiserick",3233,"","Hero - Incineroar"
25,"corax",3157,"",""
26,"Alface",3118,"","Mario"
27,"Matt",3090,"",""
28,"lucaless",2964,"","Isabelle - Wii Fit Trainer"
29,"Silvalfo",2801,"",""
30,"Vitor Pimenta",2774,"","Pyra / Mythra"
31,"M@rcio",2471,"","Yoshi"
32,"GugaVTW",2471,"","Captain Falcon"
33,"Guizera",2109,"","Inkling"
34,"Torya",2014,"",""
35,"Raken",1828,"","Hero"
36,"Gabriel",1167,"",""
37,"Palito",1152,"",""
38,"Bach",1128,"","Cloud"
39,"Pirilampo",1073,"",""
40,"Pedrão",872,"",""
41,"Bartacus",547,"",""
42,"peg",230,"",""
43,"Dijas",0,"",""
44,"Ocelot",0,"",""
45,"Jaka Preta",0,"","King K Rool - Piranha Plant"
46,"mends",0,"",""
